method;num_threads;elapsed_time
single;1;0.065799998992588
static;2;0.233900000239373
dynamic;2;0.006899999789312
guided;2;0.007100001312210
static;3;0.006199999916134
dynamic;3;0.006700000085402
guided;3;0.006800000846852
static;4;0.005899999450776
dynamic;4;0.006300000677584
guided;4;0.006600001142942
static;5;0.005900001269765
dynamic;5;0.006500000381493
guided;5;0.006700000085402
static;6;0.005800000508316
dynamic;6;0.006299998858594
guided;6;0.006399999620044
static;7;0.006100000973674
dynamic;7;0.006300000677584
guided;7;0.006699998266413
static;8;0.005800000508316
dynamic;8;0.006100000973674
guided;8;0.006500000381493
static;9;0.005700001565856
dynamic;9;0.006300000677584
guided;9;0.006300000677584
static;10;0.005800000508316
dynamic;10;0.006300000677584
guided;10;0.006399999620044
static;11;0.005699999746867
dynamic;11;0.006300000677584
guided;11;0.006199999916134
static;12;0.005800000508316
dynamic;12;0.006100000973674
guided;12;0.006000000212225
static;13;0.005599998985417
dynamic;13;0.006299998858594
guided;13;0.006099999154685
static;14;0.005800000508316
dynamic;14;0.006099999154685
guided;14;0.006300000677584
static;15;0.005600000804407
dynamic;15;0.006100000973674
guided;15;0.006199999916134
static;16;0.005699999746867
dynamic;16;0.006199999916134
guided;16;0.006299998858594
static;17;0.005800000508316
dynamic;17;0.006100000973674
guided;17;0.006199999916134
static;18;0.005899999450776
dynamic;18;0.006199999916134
guided;18;0.006199999916134
static;19;0.005700001565856
dynamic;19;0.006000000212225
guided;19;0.006199999916134
static;20;0.005899999450776
dynamic;20;0.006099999154685
guided;20;0.006399999620044
static;21;0.005800000508316
dynamic;21;0.006099999154685
guided;21;0.006499998562504
static;22;0.005800000508316
dynamic;22;0.006000000212225
guided;22;0.006600001142942
static;23;0.006000000212225
dynamic;23;0.006299998858594
guided;23;0.006199999916134
static;24;0.005699999746867
dynamic;24;0.006099999154685
guided;24;0.006199999916134
static;25;0.005800000508316
dynamic;25;0.006100000973674
guided;25;0.006199999916134
static;26;0.005699999746867
dynamic;26;0.005899999450776
guided;26;0.006199999916134
static;27;0.005700001565856
dynamic;27;0.006199999916134
guided;27;0.006299998858594
static;28;0.005799998689326
dynamic;28;0.006000000212225
guided;28;0.006399999620044
static;29;0.005800000508316
dynamic;29;0.006299998858594
guided;29;0.006899999789312
static;30;0.005800000508316
dynamic;30;0.006199999916134
guided;30;0.006700000085402
static;31;0.005699999746867
dynamic;31;0.006199999916134
guided;31;0.006100000973674
single;1;0.055800001064199
static;2;0.006799999027862
dynamic;2;0.006799999027862
guided;2;0.007100001312210
static;3;0.005999998393236
dynamic;3;0.006299998858594
guided;3;0.006599999323953
static;4;0.005899999450776
dynamic;4;0.006400001439033
guided;4;0.006500000381493
static;5;0.005900001269765
dynamic;5;0.006000000212225
guided;5;0.006300000677584
static;6;0.005799998689326
dynamic;6;0.006599999323953
guided;6;0.006399999620044
static;7;0.005800000508316
dynamic;7;0.006300000677584
guided;7;0.006100000973674
static;8;0.005800000508316
dynamic;8;0.006000000212225
guided;8;0.006199999916134
static;9;0.005699999746867
dynamic;9;0.006299998858594
guided;9;0.006299998858594
static;10;0.005699999746867
dynamic;10;0.006000000212225
guided;10;0.006399999620044
static;11;0.005600000804407
dynamic;11;0.006400001439033
guided;11;0.006199999916134
static;12;0.005699999746867
dynamic;12;0.006199999916134
guided;12;0.006300000677584
static;13;0.005800000508316
dynamic;13;0.006099999154685
guided;13;0.006299998858594
static;14;0.005699999746867
dynamic;14;0.006000000212225
guided;14;0.006299998858594
static;15;0.005699999746867
dynamic;15;0.006400001439033
guided;15;0.006599999323953
static;16;0.006199999916134
dynamic;16;0.006300000677584
guided;16;0.006399999620044
static;17;0.006199999916134
dynamic;17;0.006199999916134
guided;17;0.006099999154685
static;18;0.005800000508316
dynamic;18;0.006300000677584
guided;18;0.006199999916134
static;19;0.005699999746867
dynamic;19;0.006300000677584
guided;19;0.006299998858594
static;20;0.006000000212225
dynamic;20;0.006300000677584
guided;20;0.006199999916134
static;21;0.005800000508316
dynamic;21;0.006099999154685
guided;21;0.006300000677584
static;22;0.005699999746867
dynamic;22;0.006199999916134
guided;22;0.006199999916134
static;23;0.005699999746867
dynamic;23;0.006199999916134
guided;23;0.006300000677584
static;24;0.005699999746867
dynamic;24;0.006300000677584
guided;24;0.006400001439033
static;25;0.006100000973674
dynamic;25;0.005999998393236
guided;25;0.006399999620044
static;26;0.005799998689326
dynamic;26;0.006099999154685
guided;26;0.006599999323953
static;27;0.005799998689326
dynamic;27;0.006099999154685
guided;27;0.006299998858594
static;28;0.005800000508316
dynamic;28;0.006199999916134
guided;28;0.006099999154685
static;29;0.005799998689326
dynamic;29;0.006299998858594
guided;29;0.006300000677584
static;30;0.005699999746867
dynamic;30;0.006199999916134
guided;30;0.006600001142942
static;31;0.005699999746867
dynamic;31;0.006000000212225
guided;31;0.006399999620044
single;1;0.055399999837391
static;2;0.006500000381493
dynamic;2;0.006500000381493
guided;2;0.006800000846852
static;3;0.006000000212225
dynamic;3;0.006299998858594
guided;3;0.006599999323953
static;4;0.006000000212225
dynamic;4;0.006299998858594
guided;4;0.006899999789312
static;5;0.005900001269765
dynamic;5;0.006399999620044
guided;5;0.016300000424962
static;6;0.006299998858594
dynamic;6;0.006199999916134
guided;6;0.006399999620044
static;7;0.005800000508316
dynamic;7;0.006399999620044
guided;7;0.006500000381493
static;8;0.005799998689326
dynamic;8;0.006299998858594
guided;8;0.006199999916134
static;9;0.005800000508316
dynamic;9;0.006300000677584
guided;9;0.006399999620044
static;10;0.005899999450776
dynamic;10;0.006299998858594
guided;10;0.006199999916134
static;11;0.005900001269765
dynamic;11;0.006399999620044
guided;11;0.006599999323953
static;12;0.005699999746867
dynamic;12;0.006199999916134
guided;12;0.006399999620044
static;13;0.005700001565856
dynamic;13;0.006100000973674
guided;13;0.006199999916134
static;14;0.005799998689326
dynamic;14;0.006199999916134
guided;14;0.006500000381493
static;15;0.005899999450776
dynamic;15;0.006299998858594
guided;15;0.006500000381493
static;16;0.005699999746867
dynamic;16;0.006199999916134
guided;16;0.006600001142942
static;17;0.005799998689326
dynamic;17;0.006199999916134
guided;17;0.006300000677584
static;18;0.005899999450776
dynamic;18;0.006099999154685
guided;18;0.006299998858594
static;19;0.005700001565856
dynamic;19;0.006399999620044
guided;19;0.006299998858594
static;20;0.005699999746867
dynamic;20;0.006299998858594
guided;20;0.006399999620044
static;21;0.005699999746867
dynamic;21;0.006300000677584
guided;21;0.006199999916134
static;22;0.005699999746867
dynamic;22;0.006299998858594
guided;22;0.006300000677584
static;23;0.005799998689326
dynamic;23;0.006199999916134
guided;23;0.006199999916134
static;24;0.005699999746867
dynamic;24;0.006099999154685
guided;24;0.006499998562504
static;25;0.005699999746867
dynamic;25;0.006100000973674
guided;25;0.006899999789312
static;26;0.006199999916134
dynamic;26;0.006199999916134
guided;26;0.006499998562504
static;27;0.005700001565856
dynamic;27;0.006399999620044
guided;27;0.006700000085402
static;28;0.005699999746867
dynamic;28;0.006200001735124
guided;28;0.006300000677584
static;29;0.006100000973674
dynamic;29;0.006100000973674
guided;29;0.006700000085402
static;30;0.005900001269765
dynamic;30;0.006100000973674
guided;30;0.006500000381493
static;31;0.006000000212225
dynamic;31;0.006099999154685
guided;31;0.006299998858594
single;1;0.054800000725663
static;2;0.006399999620044
dynamic;2;0.006299998858594
guided;2;0.006500000381493
static;3;0.006000000212225
dynamic;3;0.006599999323953
guided;3;0.006800000846852
static;4;0.005999998393236
dynamic;4;0.006700000085402
guided;4;0.006700000085402
static;5;0.005699999746867
dynamic;5;0.006199999916134
guided;5;0.006500000381493
static;6;0.005700001565856
dynamic;6;0.006199999916134
guided;6;0.006499998562504
static;7;0.006099999154685
dynamic;7;0.006299998858594
guided;7;0.006700000085402
static;8;0.006000000212225
dynamic;8;0.006200001735124
guided;8;0.006599999323953
static;9;0.006000000212225
dynamic;9;0.006099999154685
guided;9;0.006399999620044
static;10;0.006000000212225
dynamic;10;0.006199999916134
guided;10;0.006599999323953
static;11;0.005699999746867
dynamic;11;0.006400001439033
guided;11;0.006500000381493
static;12;0.005699999746867
dynamic;12;0.006399999620044
guided;12;0.006300000677584
static;13;0.005900001269765
dynamic;13;0.006199999916134
guided;13;0.006299998858594
static;14;0.006099999154685
dynamic;14;0.014900000678608
guided;14;0.006700000085402
static;15;0.005899999450776
dynamic;15;0.006500000381493
guided;15;0.006199999916134
static;16;0.005800000508316
dynamic;16;0.006300000677584
guided;16;0.006499998562504
static;17;0.005800000508316
dynamic;17;0.006199999916134
guided;17;0.006700000085402
static;18;0.005799998689326
dynamic;18;0.006500000381493
guided;18;0.006300000677584
static;19;0.005699999746867
dynamic;19;0.006399999620044
guided;19;0.006500000381493
static;20;0.005800000508316
dynamic;20;0.006100000973674
guided;20;0.006199999916134
static;21;0.005699999746867
dynamic;21;0.006099999154685
guided;21;0.006299998858594
static;22;0.005699999746867
dynamic;22;0.006199999916134
guided;22;0.006300000677584
static;23;0.005800000508316
dynamic;23;0.006099999154685
guided;23;0.006199999916134
static;24;0.005799998689326
dynamic;24;0.006199999916134
guided;24;0.006800000846852
static;25;0.005800000508316
dynamic;25;0.006099999154685
guided;25;0.006499998562504
static;26;0.005800000508316
dynamic;26;0.006300000677584
guided;26;0.006100000973674
static;27;0.005800000508316
dynamic;27;0.006000000212225
guided;27;0.006399999620044
static;28;0.005700001565856
dynamic;28;0.006300000677584
guided;28;0.006199999916134
static;29;0.005699999746867
dynamic;29;0.006199999916134
guided;29;0.006100000973674
static;30;0.005699999746867
dynamic;30;0.006199999916134
guided;30;0.006199999916134
static;31;0.005599998985417
dynamic;31;0.006399999620044
guided;31;0.006199999916134
single;1;0.053800000387128
static;2;0.006500000381493
dynamic;2;0.006500000381493
guided;2;0.007099999493221
static;3;0.006099999154685
dynamic;3;0.006499998562504
guided;3;0.006500000381493
static;4;0.005800000508316
dynamic;4;0.006400001439033
guided;4;0.006599999323953
static;5;0.005799998689326
dynamic;5;0.006299998858594
guided;5;0.006500000381493
static;6;0.005800000508316
dynamic;6;0.006400001439033
guided;6;0.006399999620044
static;7;0.005899999450776
dynamic;7;0.006099999154685
guided;7;0.006299998858594
static;8;0.005799998689326
dynamic;8;0.006299998858594
guided;8;0.006500000381493
static;9;0.005699999746867
dynamic;9;0.006300000677584
guided;9;0.006299998858594
static;10;0.005899999450776
dynamic;10;0.006100000973674
guided;10;0.006700000085402
static;11;0.005800000508316
dynamic;11;0.006199999916134
guided;11;0.006299998858594
static;12;0.005899999450776
dynamic;12;0.006200001735124
guided;12;0.006499998562504
static;13;0.005800000508316
dynamic;13;0.006100000973674
guided;13;0.006199999916134
static;14;0.005799998689326
dynamic;14;0.006299998858594
guided;14;0.006300000677584
static;15;0.005800000508316
dynamic;15;0.006199999916134
guided;15;0.006199999916134
static;16;0.005800000508316
dynamic;16;0.005999998393236
guided;16;0.006300000677584
static;17;0.005899999450776
dynamic;17;0.006199999916134
guided;17;0.006300000677584
static;18;0.005900001269765
dynamic;18;0.006100000973674
guided;18;0.006399999620044
static;19;0.005899999450776
dynamic;19;0.006299998858594
guided;19;0.006399999620044
static;20;0.005700001565856
dynamic;20;0.006300000677584
guided;20;0.006600001142942
static;21;0.005800000508316
dynamic;21;0.006300000677584
guided;21;0.006300000677584
static;22;0.005699999746867
dynamic;22;0.006099999154685
guided;22;0.006199999916134
static;23;0.005800000508316
dynamic;23;0.006100000973674
guided;23;0.006400001439033
static;24;0.005800000508316
dynamic;24;0.014899998859619
guided;24;0.006599999323953
static;25;0.005899999450776
dynamic;25;0.006200001735124
guided;25;0.006299998858594
static;26;0.005799998689326
dynamic;26;0.006700000085402
guided;26;0.006500000381493
static;27;0.005799998689326
dynamic;27;0.006300000677584
guided;27;0.006499998562504
static;28;0.005800000508316
dynamic;28;0.006100000973674
guided;28;0.006300000677584
static;29;0.005899999450776
dynamic;29;0.006199999916134
guided;29;0.006199999916134
static;30;0.005800000508316
dynamic;30;0.006300000677584
guided;30;0.006600001142942
static;31;0.005800000508316
dynamic;31;0.006400001439033
guided;31;0.006300000677584
single;1;0.054800000725663
static;2;0.006500000381493
dynamic;2;0.006500000381493
guided;2;0.006700000085402
static;3;0.006099999154685
dynamic;3;0.006499998562504
guided;3;0.006899999789312
static;4;0.005800000508316
dynamic;4;0.006399999620044
guided;4;0.006399999620044
static;5;0.006000000212225
dynamic;5;0.006199999916134
guided;5;0.006700000085402
static;6;0.005899999450776
dynamic;6;0.006600001142942
guided;6;0.006199999916134
static;7;0.005899999450776
dynamic;7;0.006300000677584
guided;7;0.006300000677584
static;8;0.006199999916134
dynamic;8;0.006099999154685
guided;8;0.006299998858594
static;9;0.006099999154685
dynamic;9;0.006099999154685
guided;9;0.006399999620044
static;10;0.005800000508316
dynamic;10;0.006000000212225
guided;10;0.006599999323953
static;11;0.005800000508316
dynamic;11;0.006300000677584
guided;11;0.006199999916134
static;12;0.005800000508316
dynamic;12;0.006200001735124
guided;12;0.006199999916134
static;13;0.005799998689326
dynamic;13;0.006099999154685
guided;13;0.006199999916134
static;14;0.005800000508316
dynamic;14;0.006000000212225
guided;14;0.006300000677584
static;15;0.005800000508316
dynamic;15;0.005999998393236
guided;15;0.006099999154685
static;16;0.005800000508316
dynamic;16;0.005899999450776
guided;16;0.006200001735124
static;17;0.006099999154685
dynamic;17;0.006399999620044
guided;17;0.006099999154685
static;18;0.005699999746867
dynamic;18;0.006099999154685
guided;18;0.006299998858594
static;19;0.006099999154685
dynamic;19;0.006199999916134
guided;19;0.006000000212225
static;20;0.005600000804407
dynamic;20;0.006100000973674
guided;20;0.006600001142942
static;21;0.006000000212225
dynamic;21;0.006199999916134
guided;21;0.006499998562504
static;22;0.006000000212225
dynamic;22;0.006100000973674
guided;22;0.006199999916134
static;23;0.005800000508316
dynamic;23;0.006000000212225
guided;23;0.006100000973674
static;24;0.005800000508316
dynamic;24;0.006399999620044
guided;24;0.006199999916134
static;25;0.005699999746867
dynamic;25;0.006199999916134
guided;25;0.006199999916134
static;26;0.005700001565856
dynamic;26;0.006800000846852
guided;26;0.006399999620044
static;27;0.006199999916134
dynamic;27;0.006199999916134
guided;27;0.006199999916134
static;28;0.005700001565856
dynamic;28;0.006199999916134
guided;28;0.006499998562504
static;29;0.005900001269765
dynamic;29;0.006199999916134
guided;29;0.006399999620044
static;30;0.006000000212225
dynamic;30;0.006100000973674
guided;30;0.006300000677584
static;31;0.005800000508316
dynamic;31;0.006299998858594
guided;31;0.006099999154685
single;1;0.055099999372032
static;2;0.006700000085402
dynamic;2;0.006700000085402
guided;2;0.006699998266413
static;3;0.006099999154685
dynamic;3;0.006399999620044
guided;3;0.006700000085402
static;4;0.006000000212225
dynamic;4;0.006500000381493
guided;4;0.006300000677584
static;5;0.005899999450776
dynamic;5;0.006099999154685
guided;5;0.006399999620044
static;6;0.005800000508316
dynamic;6;0.006199999916134
guided;6;0.006600001142942
static;7;0.005800000508316
dynamic;7;0.006500000381493
guided;7;0.006699998266413
static;8;0.006000000212225
dynamic;8;0.006500000381493
guided;8;0.006499998562504
static;9;0.005899999450776
dynamic;9;0.006099999154685
guided;9;0.006199999916134
static;10;0.005699999746867
dynamic;10;0.006100000973674
guided;10;0.006300000677584
static;11;0.006000000212225
dynamic;11;0.006399999620044
guided;11;0.006199999916134
static;12;0.006100000973674
dynamic;12;0.006500000381493
guided;12;0.006600001142942
static;13;0.005800000508316
dynamic;13;0.006299998858594
guided;13;0.006300000677584
static;14;0.005800000508316
dynamic;14;0.006500000381493
guided;14;0.006199999916134
static;15;0.006000000212225
dynamic;15;0.006199999916134
guided;15;0.006799999027862
static;16;0.005799998689326
dynamic;16;0.006500000381493
guided;16;0.006600001142942
static;17;0.005800000508316
dynamic;17;0.006199999916134
guided;17;0.006399999620044
static;18;0.006100000973674
dynamic;18;0.006399999620044
guided;18;0.006299998858594
static;19;0.005800000508316
dynamic;19;0.006300000677584
guided;19;0.006600001142942
static;20;0.005800000508316
dynamic;20;0.006300000677584
guided;20;0.006199999916134
static;21;0.005800000508316
dynamic;21;0.006199999916134
guided;21;0.006300000677584
static;22;0.006000000212225
dynamic;22;0.006099999154685
guided;22;0.006399999620044
static;23;0.005900001269765
dynamic;23;0.006199999916134
guided;23;0.006100000973674
static;24;0.005800000508316
dynamic;24;0.006500000381493
guided;24;0.006499998562504
static;25;0.005700001565856
dynamic;25;0.006099999154685
guided;25;0.006499998562504
static;26;0.005800000508316
dynamic;26;0.006399999620044
guided;26;0.006099999154685
static;27;0.005899999450776
dynamic;27;0.006100000973674
guided;27;0.006500000381493
static;28;0.005699999746867
dynamic;28;0.010600000678096
guided;28;0.006199999916134
static;29;0.005699999746867
dynamic;29;0.006300000677584
guided;29;0.006800000846852
static;30;0.005800000508316
dynamic;30;0.006099999154685
guided;30;0.006200001735124
static;31;0.006099999154685
dynamic;31;0.006000000212225
guided;31;0.006100000973674
single;1;0.054899999668123
static;2;0.006300000677584
dynamic;2;0.006700000085402
guided;2;0.006599999323953
static;3;0.017500000467408
dynamic;3;0.006399999620044
guided;3;0.006700000085402
static;4;0.006000000212225
dynamic;4;0.006599999323953
guided;4;0.006399999620044
static;5;0.005799998689326
dynamic;5;0.006599999323953
guided;5;0.006700000085402
static;6;0.005800000508316
dynamic;6;0.006199999916134
guided;6;0.006299998858594
static;7;0.006000000212225
dynamic;7;0.006400001439033
guided;7;0.006300000677584
static;8;0.006199999916134
dynamic;8;0.006299998858594
guided;8;0.006399999620044
static;9;0.005700001565856
dynamic;9;0.006300000677584
guided;9;0.006799999027862
static;10;0.049500000386615
dynamic;10;0.177899999471265
guided;10;0.006899999789312
static;11;0.010199999451288
dynamic;11;0.006400001439033
guided;11;0.006700000085402
static;12;0.005900001269765
dynamic;12;0.006299998858594
guided;12;0.006399999620044
static;13;0.005800000508316
dynamic;13;0.006300000677584
guided;13;0.006100000973674
static;14;0.006000000212225
dynamic;14;0.006199999916134
guided;14;0.006599999323953
static;15;0.005899999450776
dynamic;15;0.006099999154685
guided;15;0.006399999620044
static;16;0.005800000508316
dynamic;16;0.006100000973674
guided;16;0.006300000677584
static;17;0.005699999746867
dynamic;17;0.006299998858594
guided;17;0.006199999916134
static;18;0.005900001269765
dynamic;18;0.006100000973674
guided;18;0.006600001142942
static;19;0.005699999746867
dynamic;19;0.006100000973674
guided;19;0.006199999916134
static;20;0.005899999450776
dynamic;20;0.006000000212225
guided;20;0.006899999789312
static;21;0.005700001565856
dynamic;21;0.006199999916134
guided;21;0.006399999620044
static;22;0.006000000212225
dynamic;22;0.006099999154685
guided;22;0.006599999323953
static;23;0.005899999450776
dynamic;23;0.006100000973674
guided;23;0.006800000846852
static;24;0.005900001269765
dynamic;24;0.006100000973674
guided;24;0.006300000677584
static;25;0.005699999746867
dynamic;25;0.006199999916134
guided;25;0.006500000381493
static;26;0.005699999746867
dynamic;26;0.006100000973674
guided;26;0.006100000973674
static;27;0.010699999620556
dynamic;27;0.006099999154685
guided;27;0.006199999916134
static;28;0.006099999154685
dynamic;28;0.006199999916134
guided;28;0.006400001439033
static;29;0.005899999450776
dynamic;29;0.006500000381493
guided;29;0.006700000085402
static;30;0.005800000508316
dynamic;30;0.006300000677584
guided;30;0.006300000677584
static;31;0.005999998393236
dynamic;31;0.006500000381493
guided;31;0.006700000085402
single;1;0.062600000092061
static;2;0.006700000085402
dynamic;2;0.006399999620044
guided;2;0.006899999789312
static;3;0.005999998393236
dynamic;3;0.006399999620044
guided;3;0.006399999620044
static;4;0.005800000508316
dynamic;4;0.006099999154685
guided;4;0.006399999620044
static;5;0.005800000508316
dynamic;5;0.006399999620044
guided;5;0.006500000381493
static;6;0.006099999154685
dynamic;6;0.006300000677584
guided;6;0.006399999620044
static;7;0.005900001269765
dynamic;7;0.006199999916134
guided;7;0.006299998858594
static;8;0.005799998689326
dynamic;8;0.006500000381493
guided;8;0.006199999916134
static;9;0.005699999746867
dynamic;9;0.006099999154685
guided;9;0.006299998858594
static;10;0.005699999746867
dynamic;10;0.006099999154685
guided;10;0.006300000677584
static;11;0.005899999450776
dynamic;11;0.542400000995258
guided;11;7.135500000003958
static;12;0.007599999662489
dynamic;12;0.006399999620044
guided;12;0.006500000381493
static;13;0.006000000212225
dynamic;13;0.006199999916134
guided;13;0.006700000085402
static;14;0.005900001269765
dynamic;14;0.006399999620044
guided;14;0.006500000381493
static;15;0.006299998858594
dynamic;15;0.006099999154685
guided;15;0.006399999620044
static;16;0.006000000212225
dynamic;16;0.006500000381493
guided;16;0.006700000085402
static;17;0.006100000973674
dynamic;17;0.006299998858594
guided;17;0.006099999154685
static;18;0.005900001269765
dynamic;18;0.006100000973674
guided;18;0.006300000677584
static;19;0.005800000508316
dynamic;19;0.006400001439033
guided;19;0.006199999916134
static;20;0.005899999450776
dynamic;20;0.006300000677584
guided;20;0.006500000381493
static;21;0.005699999746867
dynamic;21;0.006199999916134
guided;21;0.006700000085402
static;22;0.005800000508316
dynamic;22;0.006299998858594
guided;22;0.006899999789312
static;23;0.005800000508316
dynamic;23;0.006099999154685
guided;23;0.006299998858594
static;24;0.006099999154685
dynamic;24;0.006399999620044
guided;24;0.006700000085402
static;25;0.005700001565856
dynamic;25;0.006199999916134
guided;25;0.006899999789312
static;26;0.005899999450776
dynamic;26;0.006199999916134
guided;26;0.006300000677584
static;27;0.005699999746867
dynamic;27;0.006099999154685
guided;27;0.006799999027862
static;28;0.006099999154685
dynamic;28;0.006099999154685
guided;28;0.006299998858594
static;29;0.005699999746867
dynamic;29;0.006100000973674
guided;29;0.006800000846852
static;30;0.006000000212225
dynamic;30;0.006799999027862
guided;30;0.006099999154685
static;31;0.005799998689326
dynamic;31;0.006399999620044
guided;31;0.006299998858594
single;1;0.054199999794946
static;2;0.006600001142942
dynamic;2;0.006299998858594
guided;2;0.006599999323953
static;3;0.006099999154685
dynamic;3;0.006399999620044
guided;3;0.006500000381493
static;4;0.006000000212225
dynamic;4;0.006500000381493
guided;4;0.006800000846852
static;5;0.005800000508316
dynamic;5;0.006100000973674
guided;5;0.006300000677584
static;6;0.006199999916134
dynamic;6;0.006500000381493
guided;6;0.006500000381493
static;7;0.006099999154685
dynamic;7;0.006200001735124
guided;7;0.006300000677584
static;8;0.006000000212225
dynamic;8;0.006099999154685
guided;8;0.006500000381493
static;9;0.005800000508316
dynamic;9;0.006199999916134
guided;9;0.006300000677584
static;10;0.005699999746867
dynamic;10;0.006000000212225
guided;10;0.006199999916134
static;11;0.005800000508316
dynamic;11;0.006199999916134
guided;11;0.006399999620044
static;12;0.005799998689326
dynamic;12;0.006300000677584
guided;12;0.006300000677584
static;13;0.005899999450776
dynamic;13;0.006399999620044
guided;13;0.015999999959604
static;14;0.006099999154685
dynamic;14;0.006300000677584
guided;14;0.006399999620044
static;15;0.005699999746867
dynamic;15;0.006299998858594
guided;15;0.006500000381493
static;16;0.005699999746867
dynamic;16;0.006300000677584
guided;16;0.006199999916134
static;17;0.005699999746867
dynamic;17;0.006099999154685
guided;17;0.006000000212225
static;18;0.005800000508316
dynamic;18;0.006300000677584
guided;18;0.006299998858594
static;19;0.006000000212225
dynamic;19;0.006400001439033
guided;19;0.006800000846852
static;20;0.005699999746867
dynamic;20;0.006199999916134
guided;20;0.006800000846852
static;21;0.005800000508316
dynamic;21;0.006100000973674
guided;21;0.006399999620044
static;22;0.005699999746867
dynamic;22;0.006199999916134
guided;22;0.006600001142942
static;23;0.005800000508316
dynamic;23;0.006000000212225
guided;23;0.006299998858594
static;24;0.005800000508316
dynamic;24;0.006300000677584
guided;24;0.006300000677584
static;25;0.005700001565856
dynamic;25;0.006399999620044
guided;25;0.006399999620044
static;26;0.005700001565856
dynamic;26;0.006100000973674
guided;26;0.006400001439033
static;27;0.005600000804407
dynamic;27;0.006100000973674
guided;27;0.006199999916134
static;28;0.006000000212225
dynamic;28;0.006199999916134
guided;28;0.007200000254670
static;29;0.005799998689326
dynamic;29;0.006199999916134
guided;29;0.046900000597816
static;30;0.200200000108453
dynamic;30;0.006300000677584
guided;30;0.006300000677584
static;31;0.005900001269765
dynamic;31;0.006499998562504
